search_term|displayLink|snippet|link|title|number
Catherine Snow+Harvard|developingchild.harvard.edu|Catherine Snow, Ph.D. Patricia Albjerg Graham Professor of Education, Harvard Graduate School of Education; Steering Committee Member, Center on the ...|https://developingchild.harvard.edu/people/catherine-snow-ph-d/|Catherine Snow, Ph.D. - Center on the Developing Child at Harvard ...|6
Catherine Snow+Harvard|scholar.google.com|Catherine Snow. Harvard Graduate School of Education ... Mothers' speech to children learning language. CE Snow. Child development, 549-565, 1972.|http://scholar.google.com/citations?user=2On9j9IAAAAJ&hl=en|Catherine Snow - Google Scholar Citations|7
Catherine Snow+Harvard|www.researchgate.net|Catherine SNOW of Harvard University, MA (Harvard)  Read 264 publications  Contact Catherine SNOW.|https://www.researchgate.net/profile/Catherine_Snow|Catherine SNOW  Harvard University, MA  Harvard  Harvard ...|8
Catherine Snow+Harvard|www.scholastic.com|In an interview with ECT, Harvard professor Catherine Snow discusses her latest research and offers tips on how teachers can help children become language ...|https://www.scholastic.com/teachers/articles/teaching-content/ect-interview-catherine-snow-language-and-literacy-development/|ECT Interview: Catherine Snow on Language and Literacy ...|9
Catherine Snow+Harvard|online-learning.harvard.edu|An expert on language and literacy development, Catherine Snow's work focuses on how oral language skills are acquired and how they relate to literacy ...|https://online-learning.harvard.edu/instructor/catherine-snow|Catherine Snow  Harvard Online Courses|10
Cecilia Elena Rouse+Princeton|wws.princeton.edu|Biography. Her primary research interests are in labor economics with a focus on the economics of education. Rouse has served as an editor of the Journal of ...|https://wws.princeton.edu/faculty-research/faculty/rouse|Cecilia Elena Rouse - Woodrow Wilson School - Princeton University|1
Cecilia Elena Rouse+Princeton|en.wikipedia.org|Cecilia Elena Rouse (born December 18, 1963), is an American economist and the Dean of the ... She joined faculty at Princeton University after graduation.|https://en.wikipedia.org/wiki/Cecilia_Rouse|Cecilia Rouse - Wikipedia|2
Cecilia Elena Rouse+Princeton|wws.princeton.edu|Cecilia Elena Rouse is the dean of the Woodrow Wilson School of Public and International Affairs, the Katzman-Ernst Professor in Economics and Education ...|https://wws.princeton.edu/about-wws/leadership/meet-dean|Meet the Dean - Woodrow Wilson School - Princeton University|3
Cecilia Elena Rouse+Princeton|irs.princeton.edu|Cecilia Elena Rouse. Cecilia E. Rouse. Cecilia Elena Rouse. Lawrence and Shirley ... Princeton, NJ 08544-2098. Phone: 609-258-4800. Fax: 609-258-2907.|https://irs.princeton.edu/people/cecilia-elena-rouse|Cecilia Elena Rouse  Industrial Relations Section|4
Cecilia Elena Rouse+Princeton|www.nber.org|WWW: https://wws.princeton.edu/faculty-research/faculty/rouse ... Published: Charles M. Becker & Cecilia Elena Rouse & Mingyu Chen, 2016. Can a Summer ...|https://www.nber.org/people/cecilia_rouse|Cecilia E. Rouse|5
Cecilia Elena Rouse+Princeton|www.cfr.org|Rouse is the founding director of the Princeton Education Research Section and a member of the National Academy of Education. She is a senior editor of The ...|https://www.cfr.org/bio/cecilia-elena-rouse|Cecilia Elena Rouse  Council on Foreign Relations|6
Cecilia Elena Rouse+Princeton|www.aeaweb.org|CSMGEP Profiles: Cecilia Elena Rouse, Princeton University. Embracing Challenges. Cecilia Elena Rouse, Katzman-Ernst Professor in the Economics of ...|https://www.aeaweb.org/about-aea/committees/csmgep/profiles/cecilia-rouse|Cecilia Elena Rouse, Princeton University|7
Cecilia Elena Rouse+Princeton|www.researchgate.net|Cecilia Elena Rouse's 80 research works with 5598 citations and 8103 reads, including: The economics of education and policy: Ideas for a principles course.|https://www.researchgate.net/scientific-contributions/8365701_Cecilia_Elena_Rouse|Cecilia Elena Rouse's research works  Princeton University, New ...|8
Cecilia Elena Rouse+Princeton|www.youtube.com|Apr 5, 2013 ... Cecilia Elena Rouse, dean of Princeton's Woodrow Wilson School, has worked at the highest levels as an economist. She served President ...|https://www.youtube.com/watch?v=_zocqssjUy0|Faculty Profile: Dean Cecilia Elena Rouse - YouTube|9
Cecilia Elena Rouse+Princeton|collaborate.princeton.edu|Fingerprint Dive into the research topics where Cecilia Elena Rouse is active. These topic labels come from the works of this person. Together they form a ...|https://collaborate.princeton.edu/en/persons/cecilia-elena-rouse|Cecilia Elena Rouse — Princeton University|10
Charles M. Payne+Rutgers|sasn.rutgers.edu|Charles M. Payne is the Henry Rutgers Distinguished Professor of African American Studies at Rutgers University Newark and the Director of the Joseph ...|https://sasn.rutgers.edu/about-us/faculty-staff/charles-m-payne|Charles M. Payne  Rutgers SASN|1
Charles M. Payne+Rutgers|www.newark.rutgers.edu|Charles M. Payne is the Henry Rutgers Distinguished Professor of African American Studies at Rutgers University- Newark where he also directs the Joseph ...|https://www.newark.rutgers.edu/charles-m-payne-jr|Charles M. Payne, Jr.  Rutgers University - Newark|2
Charles M. Payne+Rutgers|cornwall.rutgers.edu|Charles M. Payne directs the Cornwall Center and is the Henry Rutgers Distinguished Professor of African American Studies. His interests include urban education ...|https://cornwall.rutgers.edu/charles-m-payne|Charles M. Payne - Joseph C. Cornwall Center - Rutgers University|3
Charles M. Payne+Rutgers|www.newark.rutgers.edu|Feb 15, 2018 ... In Conversation with Dr. Charles Payne, Director of the Joseph C. Cornwall ... What is the Joseph C. Cornwall Center for Metropolitan Studies at Rutgers ... Dr. Charles M. Payne, outlines the future direction of The Cornwall ...|https://www.newark.rutgers.edu/news/conversation-dr-charles-payne-director-joseph-c-cornwall-center-metropolitan-studies|In Conversation with Dr. Charles Payne, Director of the Joseph C ...|4
Charles M. Payne+Rutgers|en.wikipedia.org|Charles M. Payne, Jr. (born March 14, 1948) is an American academic whose areas of study include civil rights activism, urban education reform, social ...|https://en.wikipedia.org/wiki/Charles_M._Payne|Charles M. Payne - Wikipedia|5
Charles M. Payne+Rutgers|events.cornell.edu|Oct 26, 2017 ... Charles M. Payne is the Henry Rutgers Professor of African American Studies and Director of the Cornwall Center for Metropolitan Research at ...|https://events.cornell.edu/event/educational_inequality_in_the_age_of_trump|Educational Inequality in the Age of Trump - Cornell|6
Charles M. Payne+Rutgers|oirap.rutgers.edu|973-353-1753. Web site address: http://www.cornwall.rutgers.edu. Director: Charles M. Payne. Director's email address: Contact: Irene Welch. Contact address:.|https://oirap.rutgers.edu/ResearchCenters/center.aspx?id=3171|Home  Research Centers - Rutgers University|7
Charles M. Payne+Rutgers|catalogs.rutgers.edu|Charles I. Auffant ... John M. Payne ... Professor Payne's B.A. is from Yale, his J.D. from Harvard. A member of the Rutgers faculty since 1971, he served as associate dean from 1976 to 1981 and from 1986 to 1991. ... Professor Payne also has been a driving force for historic preservation in New Jersey and critical to ...|http://catalogs.rutgers.edu/generated/nwk-law_0709/pg65.html|John M. Payne - Catalog Navigator|8
Charles M. Payne+Rutgers|ssa.uchicago.edu|In the late 1960s, Charles Payne, the Frank P. Hixon Distinguished Service ... But one of the things I'm arguing in my current work is that we've really been ... In June, he retires from SSA and will take up residence at Rutgers University in his ...|https://ssa.uchicago.edu/ssa_magazine/career-focused-urban-education-and-social-justice|A Career Focused on Urban Education and Social Justice ...|9
Charles M. Payne+Rutgers|phennd.org|Sep 24, 2019 ... Call for Abstracts: Rutgers Education Reform, Communities, and Social ... Charles M. Payne, Rutgers Newark; Julia Sass Rubin, Rutgers New ...|http://phennd.org/update/call-for-abstracts-rutgers-education-reform-communities-and-social-justice-research-conference/|Call for Abstracts: Rutgers Education Reform, Communities, and ...|10
Charles T. Clotfelter+Duke|sanford.duke.edu|Charles Clotfelter is Z. Smith Reynolds Professor of Public Policy and Professor of Economics and Law at Duke University, where he has taught since 1979. He is ...|https://sanford.duke.edu/people/faculty/clotfelter-charles-t|Clotfelter, Charles T.  Duke University Sanford School of Public Policy|1
Charles T. Clotfelter+Duke|econ.duke.edu|Charles Clotfelter is Z. Smith Reynolds Professor of Public Policy and Professor of Economics and Law at Duke University, where he has taught since 1979.|https://econ.duke.edu/people/charles-t-clotfelter|Charles T. Clotfelter  Duke Economics Department|2
Charles T. Clotfelter+Duke|en.wikipedia.org|Charles T. Clotfelter (born August 20, 1947) is an economist and the Z. Smith Reynolds ... During his time at Duke, Clotfelter has served as vice provost for academic policy and planning (1983-1985), vice chancellor (1985-1988) and vice ...|https://en.wikipedia.org/wiki/Charles_T._Clotfelter|Charles T. Clotfelter - Wikipedia|3
Charles T. Clotfelter+Duke|scholars.duke.edu|Charles Clotfelter is Z. Smith Reynolds Professor of Public Policy and Professor of Economics and Law at Duke University, where he has taught since 1979.|https://scholars.duke.edu/person/charles.clotfelter|Charles T. Clotfelter  Scholars@Duke|4
Charles T. Clotfelter+Duke|www.nber.org|Charles T. Clotfelter. Sanford School of Public Policy Sanford 236 201 Science Drive Box 90245 Duke University Durham, NC 27708. Tel: 919/613-7361. E-Mail: ...|https://www.nber.org/people/charles_clotfelter|Charles T. Clotfelter|5
Charles T. Clotfelter+Duke|scholarship.law.duke.edu|Charles T. Clotfelter, Why “Amateurs”?, 62 Law and Contemporary Problems 1-16 (Fall 1999) Available at: https://scholarship.law.duke.edu/lcp/vol62/iss4/1.|https://scholarship.law.duke.edu/lcp/vol62/iss4/1/|Why “Amateurs”? by Charles T. Clotfelter|6
Charles T. Clotfelter+Duke|www.chronicle.com|Oct 24, 2010 ... Charles T. Clotfelter is a professor of public policy, economics, and law at Duke University, and author of Big-Time Sports in American ...|https://www.chronicle.com/article/Is-Sports-in-Your-Mission/125038|Is Sports in Your Mission Statement? - The Chronicle of Higher ...|7
Charles T. Clotfelter+Duke|www.researchgate.net|Charles T. Clotfelter's 24 research works with 1161 citations and 988 reads, including: The aftermath of accelerating algebra: Evidence from district policy ...|https://www.researchgate.net/scientific-contributions/72229216_Charles_T_Clotfelter|Charles T. Clotfelter's research works  Duke University, North ...|8
Charles T. Clotfelter+Duke|sites.duke.edu|In this second edition, Charles Clotfelter has updated and expanded his groundbreaking examination of ... Charles T. Clotfelter, Duke University, North Carolina.|https://sites.duke.edu/bigtimesports/|Big-Time Sports in American Universities, Second Edition|9
Charles T. Clotfelter+Duke|www.researchgate.net|Charles T. Clotfelter of Duke University, North Carolina (DU)  Read 69 publications  Contact Charles T. Clotfelter.|https://www.researchgate.net/profile/Charles_Clotfelter|Charles T. Clotfelter  Duke University, North Carolina  DU  Sanford ...|10
Christopher Emdin+Columbia (TC)|www.tc.columbia.edu|Christopher Emdin, an assistant professor of science education at Teachers College, Columbia University, has won the 2008 PDK International Outstanding ...|https://www.tc.columbia.edu/faculty/ce2165/|Emdin, Christopher (ce2165)  Teachers College, Columbia University|1
Christopher Emdin+Columbia (TC)|chrisemdin.com|Dr. Christopher Emdin is an Associate Professor in the Department of Mathematics, Science and Technology at Teachers College, Columbia University; where ...|https://chrisemdin.com/aboutus/|About  Dr. Christopher Emdin|2
Christopher Emdin+Columbia (TC)|www.tc.columbia.edu|To learn more about him, read: Emdin, GZA on PBS NewsHour with Rap Genious (TC homepage); Professor Chris Emdin Teams up With Rap Artist ...|https://www.tc.columbia.edu/bigthinkers/segments/christopher-emdin/|Christopher Emdin - Teachers College, Columbia University|3
Christopher Emdin+Columbia (TC)|en.wikipedia.org|Christopher Chris Emdin is a professor in the Department of Mathematics, Science, and Technology at Teachers College, Columbia University. At Columbia ...|https://en.wikipedia.org/wiki/Christopher_Emdin|Christopher Emdin - Wikipedia|4
Christopher Emdin+Columbia (TC)|www.tc.columbia.edu|Jan 9, 2017 ... A Great Rap by TC's Emdin about Why, for Black Males, Teaching Has Such a Bad One. Christopher Emdin, Associate Professor of Science ...|https://www.tc.columbia.edu/articles/2017/january/a-great-rap-by-tcs-emdin/|A Great Rap by TC's Christopher Emdin  Teachers College ...|5
Christopher Emdin+Columbia (TC)|twitter.com|The latest Tweets from Christopher Emdin (@chrisemdin). Prof at TC, Columbia U. Author of For White Folks Who Teach in the Hood ... Behind the magic that is ...|https://twitter.com/chrisemdin?lang=en|Christopher Emdin (@chrisemdin)  Twitter|6
Christopher Emdin+Columbia (TC)|www.youtube.com|Apr 13, 2017 ... Dr. Christopher Emdin is an Associate Professor in the Department of Mathematics, Science and Technology at Teachers College, Columbia ...|https://www.youtube.com/watch?v=XQ808A5MIhs|Christopher Emdin - For White Folks Who Teach in the Hood ... and ...|7
Christopher Emdin+Columbia (TC)|www.linkedin.com|View Christopher Emdin's profile on LinkedIn, the world's largest professional community. Christopher has 2 jobs listed on their profile. See the complete profile ...|https://www.linkedin.com/in/christopher-emdin-1961185b|Christopher Emdin - Teachers College, Columbia University - LinkedIn|8
Christopher Emdin+Columbia (TC)|www.vice.com|Apr 23, 2017 ... An associate professor at Columbia University's Teachers College and New York Times bestselling author, Emdin founded Science Genius, ...|https://www.vice.com/en_us/article/wn3gw9/christopher-emdin-is-teaching-public-school-kids-science-through-hip-hop|Christopher Emdin Is Teaching Public School Kids Science Through ...|9
Christopher Emdin+Columbia (TC)|www.wnyc.org|Jun 7, 2016 ... Educator Christopher Emdin shares his philosophy for educating urban kids ... associate professor at Columbia University's Teachers College, ...|https://www.wnyc.org/story/culturally-responsive-classrooms/|Being Culturally Responsive in Classrooms  The Brian Lehrer Show ...|10
Christopher Lubienski+Indiana|education.indiana.edu|Christopher Lubienski is a Professor of education policy at Indiana University. He is also a fellow with the National Education Policy Center at the University of ...|https://education.indiana.edu/about/directory/profiles/lubienski-christopher.html|Christopher Lubienski: : Directory: About: School of Education ...|1
Christopher Lubienski+Indiana|scholar.google.com|View all. Follow. Christopher Lubienski. Indiana University. Verified email at iu.edu ... C Lubienski, C Gulosino, P Weitzel. American Journal of Education 115 (4), ...|http://scholar.google.com/citations?user=KLVtdQYAAAAJ&hl=en|Christopher Lubienski - Google Scholar Citations|2
Christopher Lubienski+Indiana|nepc.colorado.edu|Christopher Lubienski is a professor of education policy at Indiana University. His research focuses on the intersections of public and private interests in ...|https://nepc.colorado.edu/author/lubienski-christopher|Christopher Lubienski  National Education Policy Center|3
Christopher Lubienski+Indiana|www.linkedin.com|Christopher Lubienski. Senior Research Fellow, Center for Global Studies of Education Leadership & Collaboration, East China Normal University. Indiana ...|https://www.linkedin.com/in/lubienski|Christopher Lubienski - Professor of Education Policy - Indiana ...|4
Christopher Lubienski+Indiana|indiana.academia.edu|Christopher A. Lubienski Indiana University, Bloomington Department of Educational Leadership & Policy Studies W.W. Wright Education Building, Room 4238 ...|http://indiana.academia.edu/ChristopherLubienski/CurriculumVitae|Christopher Lubienski  Indiana University - Academia.edu|5
Christopher Lubienski+Indiana|twitter.com|The latest Tweets from Chris Lubienski (@CLub_edu). #EdPolicy prof., researcher, author & teacher; ... Tweet≠Endorsement. I don't debate w Twts. Indiana, USA.|https://twitter.com/club_edu?lang=en|Chris Lubienski (@CLub_edu)  Twitter|6
Christopher Lubienski+Indiana|scholars.org|Christopher Lubienski. Professor of Educational Leadership and Policy Studies, Indiana University. Chapter Member: Indiana ...|https://scholars.org/scholar/christopher-lubienski|Christopher Lubienski  Scholars Strategy Network|7
Christopher Lubienski+Indiana|www.researchgate.net|Christopher Lubienski currently works at Indiana University Bloomington. Christopher does research in Educational Policy. His most recent publication is ...|https://www.researchgate.net/profile/Christopher_Lubienski|CHRISTOPHER LUBIENSKI  Ph.D.  Indiana University ...|8
Christopher Lubienski+Indiana|indiana.academia.edu|Christopher Lubienski, Indiana University, Educational Leadership and Policy Studies Department, Faculty Member. Studies Urban Education, Education Policy, ...|https://indiana.academia.edu/ChristopherLubienski|Christopher Lubienski  Indiana University - Academia.edu|9
Christopher Lubienski+Indiana|www.researchgate.net|Christopher Lubienski currently works at Indiana University Bloomington. Christopher does research in Educational Policy. His most recent publication is ...|https://www.researchgate.net/profile/Christopher_Lubienski/2|Christopher Lubienski  Ph.D.  Indiana University Bloomington ...|10
Claude Steele+Stanford|profiles.stanford.edu|Claude M. Steele is an American social psychologist and a Professor of Psychology at Stanford University. He is best known for his work on stereotype threat and ...|https://profiles.stanford.edu/claude-steele|Claude Steele's Profile  Stanford Profiles|1
Claude Steele+Stanford|psychology.stanford.edu|Claude Steele. Contact. Lab website. Research Interests. Social. Contact Us. Jordan Hall. 450 Jane Stanford Way, Building 420. Stanford University. Stanford ...|https://psychology.stanford.edu/people/claude-steele|Claude Steele - Stanford Psychology - Stanford University|2
Claude Steele+Stanford|claudesteele.com|Claude Steele is an American social psychologist and a Professor of Psychology at Stanford University. He is best known for his work on stereotype threat and ...|https://claudesteele.com/|Claude M. Steele Professor of Psychology at Stanford University|3
Claude Steele+Stanford|en.wikipedia.org|Claude Mason Steele (born January 1, 1946) is an African-American social psychologist. ... He is the I. James Quillen Endowed Dean, Emeritus at the Stanford Graduate School of Education, and Lucie Stern Professor in the Social Sciences, ...|https://en.wikipedia.org/wiki/Claude_Steele|Claude Steele - Wikipedia|4
Claude Steele+Stanford|edpolicy.stanford.edu|Nov 17, 2011 ... Claude Steele is the I. James Quillen Dean of the School of Education at Stanford University and a recognized leader in the field of social ...|https://edpolicy.stanford.edu/library/video/495|Claude Steele on Stereotype Threat  Stanford Center for ...|5
Claude Steele+Stanford|news.stanford.edu|Jun 13, 2011 ... Claude Steele returns to Stanford, where he was a member of the faculty from 1991 to 2009.|https://news.stanford.edu/news/2011/june/education-dean-steele-061311.html|Columbia Provost Claude Steele to lead Stanford School of Education|6
Claude Steele+Stanford|ed.stanford.edu|Feb 5, 2018 ... Listen from the link below, and find more episodes of School's In at the Stanford Radio main page. The show airs Saturdays on SiriusXM Insight ...|https://ed.stanford.edu/news/what-makes-you-susceptible-caring-about-doing-well-claude-steele-stereotype-threat|Claude Steele on stereotype threat|7
Claude Steele+Stanford|inequality.stanford.edu|Claude M. Steele began his tenure as the Executive Vice Chancellor and Provost at UC Berkeley on March 31, 2014. Reporting to and working in close ...|https://inequality.stanford.edu/about/people/claude-steele|Claude Steele - Stanford Center on Poverty and Inequality|8
Claude Steele+Stanford|evcp.berkeley.edu|Claude M. Steele served as the I. James Quillen Dean for the School of Education at Stanford University from 2011 - 2014. As dean he led the school toward a ...|https://evcp.berkeley.edu/claude-steele-bio|Claude Steele Bio  Executive Vice Chancellor and Provost|9
Claude Steele+Stanford|casbs.stanford.edu|Claude M. Steele is an American social psychologist and a professor of psychology at Stanford University.|https://casbs.stanford.edu/people/claude-steele|Claude Steele - CASBS @ Stanford - Stanford University|10
Cory Koedel+U. Missouri|economics.missouri.edu|Cory Koedel. Cory Koedel. Associate Professor of Economics and Public Policy, Ph.D., UCSD. Economics of Education, Labor Economics, Public Economics, ...|https://economics.missouri.edu/people/koedel|Cory Koedel - Economics  University of Missouri|1
Cory Koedel+U. Missouri|web.missouri.edu|Cory Koedel Associate Professor of Economics and Public Policy PhD, Economics, University of California, San Diego, 2007 ...|http://web.missouri.edu/~koedelc/|Cory Koedel - University of Missouri|2
Cory Koedel+U. Missouri|caldercenter.org|Cory Koedel is an associate professor of economics and public policy at the University of Missouri–Columbia. His research is in the areas of teacher quality and ...|https://caldercenter.org/experts/cory-koedel|Cory Koedel|3
Cory Koedel+U. Missouri|www.researchgate.net|Cory Koedel's 66 research works with 789 citations and 1883 reads, including: NONRESIDENT POSTSECONDARY ENROLLMENT GROWTH AND THE ...|https://www.researchgate.net/scientific-contributions/80935279_Cory_Koedel|Cory Koedel's research works  University of Missouri, Missouri ...|4
Cory Koedel+U. Missouri|twitter.com|The latest Tweets from Cory Koedel (@CoryKoedel). Associate Professor of Economics and Public Policy, University of Missouri.|https://twitter.com/corykoedel?lang=en|Cory Koedel (@CoryKoedel)  Twitter|5
Cory Koedel+U. Missouri|scholar.google.com|Re-examining the role of teacher quality in the educational production function. C Koedel, JR Betts. University of Missouri Department of Economics Working ...|http://scholar.google.com/citations?user=BdUiuScAAAAJ&hl=en|Cory Koedel - Google Scholar Citations|6
Cory Koedel+U. Missouri|munewsarchives.missouri.edu|Sep 14, 2016 ... Cory Koedel. Cory Koedel, associate professor of economics and public policy at MU, says that without addressing the issue of pension debt, ...|https://munewsarchives.missouri.edu/news-releases/2016/0914-teacher-pension-plans-plagued-by-debt/attachment/koedel-cory-4/index.html|Cory Koedel  News Bureau, University of Missouri|7
Cory Koedel+U. Missouri|www.ewa.org|Cory Koedel is an associate professor of economics and public policy at the University of Missouri–Columbia. His research is in the areas of teacher quality and ...|https://www.ewa.org/source/cory-koedel|Cory Koedel - Education Writers Association|8
Cory Koedel+U. Missouri|munewsarchives.missouri.edu|Nov 2, 2015 ... In a new study, researchers at the University of Missouri found that ... Cory Koedel, an associate professor of economics and public policy in the ...|https://munewsarchives.missouri.edu/news-releases/2015/1102-community-college-and-for-profit-college-graduates-earn-same-hiring-interest-from-employers/|Community College and For-Profit College Graduates Earn Same ...|9
Cory Koedel+U. Missouri|ideas.repec.org|Cory Koedel: current contact information and listing of economic research of this ... Working Papers 1902, Department of Economics, University of Missouri.|https://ideas.repec.org/f/pko283.html|Cory Koedel  IDEAS/RePEc|10
Dan Goldhaber+U. Washington|socialwork.uw.edu|Dr. Dan Goldhaber is the Director of the Center for Education Data & Research and a Professor in the School of Social Work at the University of Washington.|https://socialwork.uw.edu/faculty/clinical-affiliate/dan-goldhaber|Dan Goldhaber - School of Social Work - University of Washington|1
Dan Goldhaber+U. Washington|csde.washington.edu|Dr. Dan Goldhaber is the Director of the Center for Education Data & Research (CEDR) and a Professor in Interdisciplinary Arts and Sciences at the University of ...|https://csde.washington.edu/affiliates/goldhaber-dan/|Goldhaber, Dan - CSDE - University of Washington|2
Dan Goldhaber+U. Washington|www.uwb.edu|Dan Goldhaber – Teacher Quality. Dr. Goldhaber is affiliated with the Center for Education Data & Research and a research professor in interdisciplinary arts ...|https://www.uwb.edu/news/uw-bothell-experts|UW Bothell Experts - News - UW Bothell|3
Dan Goldhaber+U. Washington|www.researchgate.net|DAN GOLDHABER of University of Washington Seattle, Seattle (UW)  Read 166 publications  Contact DAN GOLDHABER.|https://www.researchgate.net/profile/Dan_Goldhaber|DAN GOLDHABER  PhD  University of Washington Seattle, Seattle ...|4
Dan Goldhaber+U. Washington|scholar.google.com|Dan Goldhaber. University of Washington. Verified email at uw.edu - Homepage ... RG Ehrenberg, DD Goldhaber, DJ Brewer. ILR Review 48 (3), 547-561, 1995.|http://scholar.google.com/citations?user=kyAysbQAAAAJ&hl=en|Dan Goldhaber - Google Scholar Citations|5
Dan Goldhaber+U. Washington|www.aei.org|Dan Goldhaber @CEDR_US. AEI Adjunct Scholar University of Washington. Research Areas. Education. Contact. dgoldhab@u.washington.edu. Work. Working ...|https://www.aei.org/profile/dan-goldhaber/|Dan Goldhaber  American Enterprise Institute - AEI|6
Dan Goldhaber+U. Washington|education.msu.edu|Apr 1, 2019 ... In this edition of JTE Insider, we are joined by Dr. Dan Goldhaber from the University of Washington. He is the author of the article titled ...|https://education.msu.edu/jte-insider/2019/podcast-interview-dan-goldhaber/|Podcast Interview: Dan Goldhaber – JTE Insider|7
Dan Goldhaber+U. Washington|www.seattletimes.com|Jul 17, 2018 ... In Washington state, teachers who complete a rigorous national ... “Salary really does matter,” said Dan Goldhaber, director of the UW's Center ...|https://www.seattletimes.com/education-lab/uw-study-want-highly-trained-teachers-to-work-at-high-poverty-schools-try-offering-them-10000/|UW study: Want highly trained teachers to work at high-poverty ...|8
Dan Goldhaber+U. Washington|www.cedr.us|CEDR Working Paper 2010-2. University of Washington, Seattle, WA. pdf. Goldhaber, D. (2010). Licensure Tests: Their Use and Value for Increasing Teacher ...|http://www.cedr.us/publications_effectiveness.html|CEDR Publications: Teacher Quality/Effectiveness (Value-Added ...|9
Dan Goldhaber+U. Washington|stat.uw.edu|Home; Dan Goldhaber. Dan Goldhaber. Email, dgoldhab@uw.edu. Phone, +1 206 547-5585. UW Box Number, 358530. Personnel Image · Be boundless.|https://stat.uw.edu/person/dan-goldhaber|Dan Goldhaber  University of Washington Department of Statistics|10
Daniel Koretz+Harvard|www.gse.harvard.edu|Daniel Koretz is an expert on educational assessment and testing policy. A primary focus of his work has been the impact of high-stakes testing. His research ...|https://www.gse.harvard.edu/faculty/daniel-koretz|Daniel Koretz  Harvard Graduate School of Education|1
Daniel Koretz+Harvard|cepr.harvard.edu|Daniel Koretz. PIER Fellowship Faculty Mentor Henry Lee Shattuck Professor of Education Harvard Graduate School of Education.|https://cepr.harvard.edu/people/daniel-koretz|Daniel Koretz  Center for Education Policy Research at Harvard ...|2
Daniel Koretz+Harvard|www.gse.harvard.edu|In his new book, Professor Dan Koretz looks at issues around test-based accountability in American education.|https://www.gse.harvard.edu/news/ed/18/01/testing-charade|The Testing Charade  Harvard Graduate School of Education|3
Daniel Koretz+Harvard|www.hup.harvard.edu|Measuring Up demystifies educational testing -- from MCAS to SAT to WAIS. Bringing statistical terms down to earth, Koretz takes readers through the most ...|https://www.hup.harvard.edu/catalog.php?isbn=9780674035218&content=bios|Measuring Up — Daniel Koretz  Harvard University Press|4
Daniel Koretz+Harvard|chalkbeat.org|Jan 19, 2018 ... Harvard professor Daniel Koretz is on a mission: to convince policymakers that standardized tests have been widely misused.|https://chalkbeat.org/posts/us/2018/01/19/why-one-harvard-professor-calls-american-schools-focus-on-testing-a-charade/|Why one Harvard professor calls American schools' focus on testing a|5
Daniel Koretz+Harvard|www.educationnext.org|Daniel Koretz is the Henry Lee Shattuck Professor of Education at the Harvard Graduate School of Education. He is an expert on educational assessment and ...|https://www.educationnext.org/author/dkoretz/|Daniel Koretz - Education Next : Education NextDaniel Koretz ...|6
Daniel Koretz+Harvard|bigthink.com|Daniel Koretz is the Henry Lee Shattuck Professor of Education at Harvard Graduate School of Education. He focuses his research primarily on educational ...|https://bigthink.com/u/danielkoretz|Daniel Koretz|7
Daniel Koretz+Harvard|www.educationnext.org|by Daniel Koretz University of Chicago Press, 2017, $25; 288 pages. As reviewed by Dan Goldhaber. The title of his latest book telegraphs where Harvard ...|https://www.educationnext.org/gloomy-perspective-on-high-stakes-testing-review-the-testing-charade-daniel-koretz/|A Gloomy Perspective on High-stakes Testing: Review of The ...|8
Daniel Koretz+Harvard|www.facebook.com|Sep 11, 2017 ... Dan Koretz now, discussing his new book The Testing Charade. Have questions? Post them in the comments! 6.9K ...|https://www.facebook.com/HarvardEducation/videos/thoughts-on-testing-watch-and-engage-with-prof-dan-koretz-now-discussing-his-new/10155193281701387/|Thoughts on testing? Watch and engage... - Harvard Graduate ...|9
Daniel Koretz+Harvard|twitter.com|Daniel Koretz · @DanKoretz. Professor of Education at @HGSE · Cambridge, MA · gse.harvard ...|https://twitter.com/dankoretz?lang=en|Daniel Koretz (@DanKoretz)  Twitter|10
Daniel Willingham+U. Virginia|psychology.as.virginia.edu|Teaching of Psychology, 42, 266-271. Willingham, D. T. (2015). Moving Educational Psychology into the Home: The Case of Reading. Mind, Brain, and Education, ...|https://psychology.as.virginia.edu/people/profile/dbw8m|Daniel Willingham|1
Daniel Willingham+U. Virginia|www.danielwillingham.com|Charlottesville, VA 22904 facebook: DTWillingham ... He is currently Professor of Psychology at the University of Virginia, where he has taught since 1992.|http://www.danielwillingham.com/about.html|About - Daniel Willingham--Science & Education|2
Daniel Willingham+U. Virginia|en.wikipedia.org|Daniel T. Willingham (born 1961) is a psychologist at the University of Virginia, where he is a professor in the Department of Psychology. Willingham's research ...|https://en.wikipedia.org/wiki/Daniel_T._Willingham|Daniel T. Willingham - Wikipedia|3
Daniel Willingham+U. Virginia|www.danielwillingham.com|Web page for Daniel Willingham, Professor of Psychology at the University of Virginia.|http://www.danielwillingham.com/|Daniel Willingham--Science & Education - Daniel Willingham|4
Daniel Willingham+U. Virginia|www.washingtonpost.com|Aug 15, 2017 ... Educators, as University of Virginia psychology professor Daniel Willingham writes, “might be particularly dejected” by the deadly weekend ...|https://www.washingtonpost.com/news/answer-sheet/wp/2017/08/15/u-va-professor-what-good-is-education-in-the-face-of-someone-who-closes-their-mind-to-facts/|U-Va. professor: 'What good is education in the face of someone ...|5
